Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,1,14:30,277.72,4,0.0159,341.45,633.8,14,0.0216,378.82,1146.12,35,0.0302,366.14,561.69,30,0.0529,337.58
August,1,15:00,264.77,5,0.0192,328.34,637.03,7,0.0116,385.12,1130.68,38,0.0338,369.17,556.52,29,0.0524,338.19
August,1,15:30,275.62,7,0.0245,339.31,627.34,8,0.0126,374.18,1124.98,90,0.0798,371.71,540.28,43,0.0792,333.36
August,1,16:00,262.52,4,0.0134,345.66,612.25,8,0.0135,394.98,1115.11,51,0.0461,370.59,577.11,28,0.0488,338.77
August,1,16:30,249.19,3,0.0134,347.82,586.0,9,0.0145,379.19,1064.77,29,0.0273,373.06,545.85,18,0.0324,331.32
August,1,17:00,218.16,4,0.0168,341.66,561.58,9,0.0154,383.13,999.66,26,0.0255,368.04,507.55,12,0.0244,345.54
August,1,17:30,189.83,3,0.0179,340.68,521.14,7,0.013,389.13,908.68,24,0.0262,372.2,463.29,16,0.0345,331.78
August,1,18:00,170.64,3,0.0165,330.84,492.85,8,0.0169,389.26,804.28,20,0.0253,371.54,413.94,9,0.0226,328.22
August,1,18:30,139.33,2,0.0165,364.05,424.99,6,0.0149,376.83,726.44,15,0.0201,373.62,364.58,10,0.0274,325.16
August,1,19:00,96.48,1,0.0143,368.69,399.59,9,0.0214,378.71,644.44,16,0.0253,361.89,326.48,11,0.0329,329.67
August,1,19:30,69.34,1,0.0139,340.1,339.96,5,0.0154,358.05,562.71,14,0.0249,372.7,292.93,13,0.045,331.89
August,1,20:00,53.56,1,0.0187,352.37,274.82,7,0.0241,369.22,462.1,19,0.0405,362.64,238.33,12,0.0518,326.77
August,1,20:30,43.74,1,0.027,315.68,251.21,6,0.0235,379.81,394.04,9,0.0222,358.01,213.11,7,0.0327,313.79
August,1,21:00,30.37,1,0.0325,340.81,215.87,4,0.0163,364.69,332.63,6,0.0192,363.24,172.68,15,0.0894,335.64
August,1,21:30,22.16,0,0.017,333.32,176.2,3,0.0194,348.23,272.84,5,0.0178,365.59,155.42,10,0.063,338.89
August,1,22:00,20.59,0,0.0,329.02,125.05,0,0.0,364.11,213.93,0,0.0,359.42,120.93,0,0.0,325.82
August,1,22:30,14.33,0,0.0,393.12,107.23,0,0.0,333.26,169.74,0,0.0,356.61,96.59,0,0.0,317.98
August,1,23:00,10.67,0,0.0,336.71,74.97,0,0.0,350.65,129.44,0,0.0,341.17,74.0,0,0.0,311.78
August,1,23:30,8.22,0,0.0,257.04,62.68,0,0.0,345.45,101.34,0,0.0,316.9,57.87,0,0.0,309.19
August,2,0:00,6.82,0,0.0,402.02,44.47,0,0.0,320.78,71.93,0,0.0,345.86,43.45,0,0.0,331.38
August,2,0:30,5.67,0,0.0,379.16,29.03,0,0.0,358.81,54.63,0,0.0,347.19,28.16,0,0.0,347.46
August,2,1:00,4.11,0,0.0,413.76,10.37,0,0.0,445.16,39.99,0,0.0,336.31,23.73,0,0.0,349.33
August,2,1:30,1.74,0,0.0,304.53,5.42,0,0.0,325.88,34.39,0,0.0,346.98,15.52,0,0.0,332.04
August,2,2:00,1.68,0,0.0,311.25,6.22,0,0.0,369.06,20.89,0,0.0,333.71,10.82,0,0.0,345.9
August,2,2:30,1.81,0,0.0,300.02,4.09,0,0.0,399.88,15.28,0,0.0,367.15,6.34,0,0.0,421.36
August,2,3:00,1.27,0,0.0,321.96,3.98,0,0.0,355.78,11.41,0,0.0,368.31,2.3,0,0.0,455.73
August,2,3:30,0.85,0,0.0,387.96,4.16,0,0.0,231.83,12.47,0,0.0,325.28,0.31,0,0.0,257.92
August,2,4:00,1.17,0,0.0,276.78,2.41,0,0.0,355.04,10.57,0,0.0,405.67,0.21,0,0.0,335.45
August,2,4:30,1.16,0,0.0,210.35,2.78,0,0.0,340.56,11.43,0,0.0,313.35,0.38,0,0.0,360.5
August,2,5:00,1.14,0,0.0,472.24,3.4,0,0.0,278.76,11.52,0,0.0,463.19,0.33,0,0.0,312.72
August,2,5:30,0.86,0,0.0,178.2,3.05,0,0.0,284.73,14.38,0,0.0,329.57,0.53,0,0.0,539.68
August,2,6:00,1.86,0,0.0,276.24,3.55,0,0.0,478.45,19.96,0,0.0,293.44,8.93,0,0.0,271.67
August,2,6:30,2.38,0,0.0,295.61,8.44,0,0.0,421.2,36.97,0,0.0,287.47,15.49,0,0.0,310.01
August,2,7:00,5.83,0,0.0616,277.75,12.75,0,0.0119,316.63,65.45,1,0.0112,281.93,28.79,1,0.0218,273.82
August,2,7:30,11.11,1,0.0585,312.67,22.58,0,0.0073,332.4,105.71,2,0.0159,278.41,44.6,1,0.0206,314.68
August,2,8:00,31.83,0,0.0122,263.02,40.52,0,0.0116,319.28,190.24,2,0.0087,291.98,80.07,1,0.012,311.69
August,2,8:30,54.34,1,0.01,296.09,53.65,1,0.0185,343.56,273.48,3,0.0127,318.34,117.42,2,0.0133,300.18
August,2,9:00,77.72,1,0.009,291.51,142.03,1,0.0102,315.42,384.13,4,0.01,313.45,174.86,3,0.0177,311.23
August,2,9:30,93.21,1,0.0125,285.43,195.96,2,0.0112,337.69,463.53,11,0.0229,335.86,220.19,4,0.0189,301.67
August,2,10:00,114.99,1,0.0106,301.16,244.82,3,0.0122,337.08,577.08,6,0.0096,333.25,260.22,5,0.0192,318.77
August,2,10:30,146.7,2,0.0107,305.47,283.45,6,0.0212,356.77,646.75,8,0.0119,347.79,302.91,12,0.0382,320.18
August,2,11:00,167.97,2,0.0111,309.31,326.81,4,0.0119,354.98,703.54,9,0.0125,350.3,342.72,7,0.0211,330.96
August,2,11:30,165.57,3,0.0154,299.98,372.31,6,0.0166,362.39,717.51,14,0.0195,357.73,357.07,7,0.0184,332.23
August,2,12:00,183.49,4,0.0223,311.48,380.29,4,0.0116,355.89,728.37,11,0.0149,358.99,372.43,5,0.0136,340.67
August,2,12:30,199.33,5,0.0269,317.23,403.9,6,0.016,358.09,737.91,13,0.017,357.28,386.88,10,0.027,332.59
August,2,13:00,191.17,2,0.0108,316.36,427.82,9,0.0219,363.76,723.56,10,0.0133,361.2,381.85,10,0.0255,342.08
August,2,13:30,186.4,2,0.0088,322.42,445.4,11,0.0243,354.7,725.89,16,0.0215,359.59,387.94,10,0.0254,336.64
August,2,14:00,179.88,2,0.0124,329.09,457.03,13,0.0282,363.84,724.36,13,0.0184,361.53,382.36,7,0.0187,334.17
August,2,14:30,184.3,3,0.016,323.27,449.69,9,0.021,370.21,718.09,9,0.0132,356.31,394.05,14,0.0354,346.56
August,2,15:00,180.79,2,0.0101,319.6,437.23,6,0.0131,360.14,678.03,5,0.0068,366.09,377.94,7,0.0187,327.43
August,2,15:30,181.93,2,0.0105,322.94,441.76,5,0.0123,353.5,659.54,5,0.007,362.13,355.53,6,0.0161,326.56
August,2,16:00,173.07,2,0.0099,342.91,436.72,4,0.0097,369.24,637.31,5,0.0076,362.31,343.75,5,0.0148,345.33
August,2,16:30,158.2,1,0.0093,305.02,405.44,4,0.0091,376.35,591.08,4,0.007,361.25,320.24,4,0.0126,338.49
August,2,17:00,145.92,3,0.0184,325.1,395.57,3,0.0079,368.08,551.11,4,0.0081,363.14,297.36,4,0.0143,336.87
August,2,17:30,126.52,2,0.018,327.89,371.7,4,0.0101,371.86,532.36,4,0.0073,359.27,284.3,3,0.0112,340.34
August,2,18:00,115.7,1,0.0129,338.98,338.4,5,0.015,381.25,504.07,4,0.0086,357.21,266.95,3,0.0121,340.32
August,2,18:30,99.49,1,0.0147,343.42,311.19,4,0.0141,368.75,458.62,5,0.0103,366.76,230.69,2,0.0108,356.96
August,2,19:00,75.31,1,0.0096,326.26,273.08,4,0.014,368.05,414.33,5,0.013,355.95,221.51,3,0.0126,348.69
August,2,19:30,58.36,1,0.0132,353.95,244.96,3,0.0117,351.4,368.26,8,0.0224,353.54,197.7,3,0.0126,352.41
August,2,20:00,45.65,1,0.0193,305.48,211.46,7,0.0309,357.37,323.33,5,0.0168,361.98,162.06,2,0.0145,333.58
August,2,20:30,37.83,2,0.0417,280.82,179.78,3,0.0143,336.16,273.97,4,0.0136,354.61,150.48,2,0.0147,327.05
August,2,21:00,26.37,1,0.0254,297.39,146.54,3,0.019,338.2,229.81,3,0.012,356.36,128.36,3,0.0227,331.25
August,2,21:30,20.4,1,0.0298,297.12,128.13,2,0.0117,347.56,185.76,2,0.0083,357.4,104.87,1,0.0138,347.25
August,2,22:00,12.7,0,0.0,385.66,99.02,0,0.0,331.93,152.02,0,0.0,344.96,89.6,0,0.0,321.65
August,2,22:30,9.36,0,0.0,321.06,79.4,0,0.0,349.29,129.11,0,0.0,346.41,72.29,0,0.0,332.39
August,2,23:00,8.85,0,0.0,379.17,59.22,0,0.0,319.99,96.31,0,0.0,333.17,61.59,0,0.0,331.89
August,2,23:30,4.29,0,0.0,237.5,45.15,0,0.0,323.4,84.57,0,0.0,333.88,48.72,0,0.0,306.72
August,3,0:00,2.88,0,0.0,392.08,38.14,0,0.0,311.07,57.46,0,0.0,327.44,40.1,0,0.0,307.16
August,3,0:30,2.75,0,0.0,416.98,27.56,0,0.0,305.17,42.22,0,0.0,365.69,27.54,0,0.0,313.68
August,3,1:00,2.89,0,0.0,466.02,10.34,0,0.0,418.3,30.7,0,0.0,314.12,21.27,0,0.0,334.27
August,3,1:30,2.31,0,0.0,416.47,7.86,0,0.0,351.4,26.49,0,0.0,298.43,16.17,0,0.0,388.41
August,3,2:00,1.57,0,0.0,194.48,6.01,0,0.0,400.73,19.03,0,0.0,363.58,12.73,0,0.0,357.73
August,3,2:30,1.44,0,0.0,537.39,4.2,0,0.0,359.83,12.69,0,0.0,340.46,9.27,0,0.0,415.84
August,3,3:00,1.9,0,0.0,346.69,5.4,0,0.0,354.8,13.84,0,0.0,370.39,2.66,0,0.0,416.86
August,3,3:30,1.9,0,0.0,388.01,2.62,0,0.0,309.71,9.35,0,0.0,448.42,0.5,0,0.0,278.69
August,3,4:00,1.88,0,0.0,427.61,1.95,0,0.0,387.87,10.59,0,0.0,459.04,0.34,0,0.0,330.44
August,3,4:30,1.39,0,0.0,369.78,3.54,0,0.0,442.85,6.48,0,0.0,422.18,0.21,0,0.0,258.28
August,3,5:00,2.39,0,0.0,326.7,1.91,0,0.0,652.01,10.83,0,0.0,377.06,0.64,0,0.0,366.38
August,3,5:30,2.31,0,0.0,478.91,2.84,0,0.0,327.33,10.81,0,0.0,287.84,0.3,0,0.0,431.07
August,3,6:00,3.2,0,0.0,277.88,3.61,0,0.0,331.49,18.2,0,0.0,281.56,5.91,0,0.0,251.54
August,3,6:30,1.31,0,0.0,256.1,4.33,0,0.0,342.07,25.12,0,0.0,272.8,10.95,0,0.0,290.14
August,3,7:00,5.29,0,0.0078,310.63,8.43,0,0.0224,308.73,40.49,1,0.0185,297.08,18.36,0,0.011,313.89
August,3,7:30,6.74,0,0.0329,380.13,12.48,1,0.0762,332.56,65.22,2,0.027,277.65,33.44,1,0.0195,302.82
August,3,8:00,12.18,0,0.0154,267.25,24.51,1,0.0327,303.39,105.89,2,0.0158,297.12,51.05,1,0.0189,315.14
August,3,8:30,14.05,0,0.0109,305.47,33.59,1,0.0382,334.99,152.76,3,0.0207,309.42,69.97,1,0.0121,327.86
August,3,9:00,20.5,0,0.0078,291.53,81.91,3,0.0319,326.56,199.43,3,0.0168,321.19,103.2,2,0.0223,316.8
August,3,9:30,25.3,0,0.0098,320.04,101.05,2,0.0224,346.43,243.29,4,0.0171,316.68,120.65,2,0.0151,296.63
August,3,10:00,26.75,0,0.0078,303.23,126.31,4,0.0311,334.41,306.74,6,0.0188,317.3,141.38,3,0.0242,317.39
August,3,10:30,39.26,0,0.0078,292.54,144.31,6,0.0449,351.95,354.87,7,0.0205,328.7,173.58,8,0.0477,330.98
August,3,11:00,34.76,0,0.0101,315.77,154.28,6,0.0386,347.77,376.88,7,0.0185,345.08,184.9,4,0.0219,318.36
August,3,11:30,35.84,0,0.0078,317.33,181.62,8,0.0445,340.37,425.38,11,0.0259,345.89,201.3,4,0.019,324.56
August,3,12:00,54.88,1,0.0112,309.65,204.84,8,0.0386,342.21,459.34,8,0.0168,338.48,219.76,4,0.0182,317.28
August,3,12:30,67.33,1,0.0149,320.15,234.39,14,0.0579,346.3,460.54,10,0.0226,336.8,222.0,3,0.0157,317.28
August,3,13:00,82.48,2,0.0219,326.35,261.71,10,0.0383,331.79,479.15,14,0.0301,358.67,219.51,5,0.0211,324.81
August,3,13:30,83.47,1,0.0115,306.44,267.51,12,0.0445,337.22,477.58,21,0.0431,353.9,239.64,5,0.0209,328.28
August,3,14:00,87.79,1,0.0113,319.65,295.91,11,0.0386,347.41,483.72,12,0.0253,352.78,232.61,4,0.0165,327.05
August,3,14:30,91.83,2,0.0171,311.92,283.05,10,0.0356,349.41,476.39,9,0.0185,349.59,241.2,5,0.0209,318.2
August,3,15:00,86.36,1,0.013,326.09,304.77,8,0.026,345.88,488.28,8,0.0161,356.51,228.89,3,0.0147,330.18
August,3,15:30,91.72,2,0.0237,306.66,321.43,10,0.0323,342.59,466.54,8,0.0168,355.93,246.11,6,0.025,322.04
August,3,16:00,91.24,1,0.0078,312.58,309.39,10,0.0325,342.92,457.44,9,0.0195,353.2,220.07,3,0.0157,336.49
August,3,16:30,85.09,1,0.0087,297.39,291.54,9,0.0325,336.49,452.15,11,0.0247,359.46,226.06,5,0.0224,329.4
August,3,17:00,72.36,1,0.013,319.54,285.09,10,0.0366,347.14,419.37,8,0.0182,357.45,212.52,3,0.0147,334.57
August,3,17:30,70.25,1,0.0112,300.39,264.26,10,0.0369,347.46,399.89,6,0.0158,346.16,204.96,3,0.0145,331.36
August,3,18:00,50.31,1,0.0099,327.52,248.76,9,0.0348,344.81,348.34,6,0.0163,359.89,190.21,3,0.0157,324.9
August,3,18:30,42.18,1,0.0127,302.77,224.47,10,0.0463,344.7,323.93,6,0.0185,354.65,178.92,3,0.015,327.0
August,3,19:00,36.11,0,0.0096,309.39,198.77,9,0.044,324.79,303.01,5,0.0168,356.73,163.13,2,0.0129,322.51
August,3,19:30,33.49,0,0.0124,286.15,185.45,6,0.0339,351.25,266.38,5,0.0193,356.26,163.24,2,0.0152,343.33
August,3,20:00,29.06,1,0.0222,308.91,155.2,4,0.0281,343.37,244.8,5,0.0187,351.32,143.63,3,0.0213,340.38
August,3,20:30,25.17,1,0.0219,317.26,140.25,4,0.029,336.95,220.8,3,0.0155,344.08,128.37,2,0.0147,326.9
August,3,21:00,20.8,1,0.0306,305.29,123.84,4,0.0289,336.71,194.08,3,0.0146,340.71,102.04,2,0.0228,329.15
August,3,21:30,17.45,0,0.0124,338.06,111.04,4,0.0388,345.88,168.12,3,0.016,335.68,92.51,1,0.0116,335.0
August,3,22:00,16.69,0,0.0,296.92,88.49,0,0.0,348.9,139.62,0,0.0,347.36,82.21,0,0.0,337.36
August,3,22:30,14.44,0,0.0,299.04,68.43,0,0.0,330.06,124.65,0,0.0,340.87,69.74,0,0.0,333.92
August,3,23:00,8.71,0,0.0,361.52,56.42,0,0.0,283.24,97.38,0,0.0,338.13,55.63,0,0.0,335.47
August,3,23:30,7.53,0,0.0,308.58,47.34,0,0.0,304.0,80.31,0,0.0,330.92,51.85,0,0.0,350.69
August,4,0:00,4.01,0,0.0,453.78,21.88,0,0.0,332.91,55.08,0,0.0,329.43,32.71,0,0.0,302.11
August,4,0:30,2.84,0,0.0,296.37,18.86,0,0.0,309.85,43.63,0,0.0,318.13,24.06,0,0.0,321.32
August,4,1:00,2.73,0,0.0,329.24,9.27,0,0.0,381.58,33.16,0,0.0,321.5,16.5,0,0.0,331.8
August,4,1:30,1.04,0,0.0,317.34,6.01,0,0.0,435.12,23.14,0,0.0,339.35,14.41,0,0.0,344.12
August,4,2:00,1.93,0,0.0,394.32,5.95,0,0.0,278.9,15.44,0,0.0,299.67,8.53,0,0.0,304.42
August,4,2:30,1.78,0,0.0,531.43,5.39,0,0.0,337.11,14.53,0,0.0,357.29,8.71,0,0.0,327.1
August,4,3:00,0.44,0,0.0,403.45,2.94,0,0.0,312.16,12.07,0,0.0,329.11,5.65,0,0.0,384.69
August,4,3:30,1.42,0,0.0,251.47,0.79,0,0.0,304.71,9.32,0,0.0,307.1,4.88,0,0.0,262.66
August,4,4:00,1.05,0,0.0,292.76,2.49,0,0.0,308.33,10.62,0,0.0,329.63,4.25,0,0.0,286.38
August,4,4:30,1.65,0,0.0,177.51,2.34,0,0.0,264.4,9.09,0,0.0,316.26,5.62,0,0.0,203.94
August,4,5:00,1.32,0,0.0,281.08,1.85,0,0.0,333.03,11.03,0,0.0,325.13,5.02,0,0.0,333.53
August,4,5:30,1.16,0,0.0,302.16,4.14,0,0.0,375.1,14.56,0,0.0,283.26,4.82,0,0.0,307.31
August,4,6:00,1.52,0,0.0,243.76,3.51,0,0.0,242.11,24.8,0,0.0,266.99,13.05,0,0.0,232.03
August,4,6:30,3.13,0,0.0,197.31,6.72,0,0.0,337.81,44.31,0,0.0,299.55,20.19,0,0.0,244.75
August,4,7:00,6.99,0,0.0248,209.04,27.02,1,0.0251,272.5,80.97,1,0.0119,256.2,35.94,1,0.0255,267.57
August,4,7:30,11.6,0,0.0261,314.88,43.61,2,0.0521,274.59,132.65,2,0.0181,263.8,58.4,2,0.0325,266.75
August,4,8:00,41.12,1,0.0161,269.72,93.58,2,0.0199,270.29,272.03,4,0.0155,295.52,124.39,3,0.0259,266.09
August,4,8:30,81.31,2,0.0241,292.88,148.69,6,0.0373,290.75,430.19,6,0.0141,307.4,184.65,7,0.0398,282.26
August,4,9:00,132.28,2,0.0174,289.8,233.28,4,0.0164,291.85,609.59,9,0.0153,318.98,302.31,9,0.0296,287.71
August,4,9:30,172.52,3,0.0164,300.0,295.7,6,0.0205,311.32,781.76,22,0.0287,336.8,372.76,20,0.0525,301.62
August,4,10:00,205.18,3,0.0132,309.29,387.76,8,0.0212,317.67,937.7,28,0.0295,337.93,449.77,20,0.0453,310.12
August,4,10:30,235.44,4,0.0161,291.09,431.04,21,0.0479,327.44,1045.93,38,0.0359,348.0,504.63,31,0.0623,313.3
August,4,11:00,242.47,3,0.0126,300.75,485.49,12,0.0255,333.88,1133.22,27,0.0235,357.03,537.72,26,0.0477,318.25
August,4,11:30,259.7,3,0.0122,312.75,497.17,17,0.0341,334.22,1154.4,33,0.0285,361.33,561.01,25,0.0447,318.95
August,4,12:00,253.94,4,0.0166,303.76,549.65,13,0.0233,330.63,1196.83,35,0.0295,360.42,606.73,29,0.0475,322.03
August,4,12:30,262.21,4,0.0147,296.67,564.78,21,0.0371,339.09,1194.74,42,0.0347,361.49,603.48,35,0.058,321.76
August,4,13:00,254.1,4,0.0171,295.8,586.31,13,0.0227,336.91,1176.19,26,0.0219,365.16,605.16,25,0.0408,322.44
August,4,13:30,257.77,4,0.0164,307.13,592.78,22,0.0376,335.01,1169.79,40,0.034,370.31,604.34,29,0.0481,320.43
August,4,14:00,258.74,4,0.0169,306.24,613.95,25,0.0415,330.77,1201.24,41,0.0338,372.91,629.41,33,0.0524,315.25
August,4,14:30,271.44,8,0.028,309.61,614.92,34,0.0557,329.69,1207.84,73,0.0603,369.75,643.09,56,0.0871,324.91
August,4,15:00,265.16,5,0.0194,302.96,618.35,24,0.0381,335.94,1215.34,41,0.0341,368.99,635.4,34,0.0531,324.1
August,4,15:30,277.05,5,0.017,309.15,618.26,12,0.0195,335.17,1194.94,23,0.0192,373.19,625.29,28,0.0443,327.59
August,4,16:00,262.48,3,0.0129,323.16,626.77,12,0.0189,337.76,1206.18,19,0.0157,370.28,641.5,19,0.0296,332.37
August,4,16:30,260.3,3,0.0126,309.18,614.01,14,0.0225,344.16,1163.32,19,0.0161,371.69,622.09,22,0.0358,335.81
August,4,17:00,230.06,4,0.0165,313.21,583.42,12,0.0204,335.68,1103.43,20,0.0182,365.92,592.72,17,0.0289,337.82
August,4,17:30,214.63,3,0.0142,303.7,556.92,10,0.0181,343.94,1009.6,19,0.0191,370.98,551.02,22,0.0398,330.43
August,4,18:00,170.78,3,0.0149,297.9,491.29,11,0.0214,338.33,944.86,26,0.0272,368.28,507.44,14,0.0272,333.05
August,4,18:30,155.96,3,0.017,317.46,463.4,12,0.0264,336.86,832.27,16,0.0189,369.18,442.24,12,0.0264,335.46
August,4,19:00,103.02,1,0.0121,313.46,409.21,11,0.0265,345.65,726.96,16,0.022,378.56,404.66,13,0.0323,318.11
August,4,19:30,83.14,2,0.0199,306.5,390.52,10,0.0249,325.05,661.77,18,0.0275,371.66,376.69,21,0.0569,333.25
August,4,20:00,59.72,1,0.021,301.74,336.11,12,0.0367,324.63,572.69,16,0.028,373.56,316.72,17,0.0534,320.2
August,4,20:30,46.71,2,0.0335,311.91,272.83,7,0.0256,316.2,476.06,8,0.0165,361.8,270.2,10,0.0387,321.22
August,4,21:00,35.77,1,0.0348,317.53,215.34,6,0.0262,327.41,393.96,6,0.0155,364.82,225.1,13,0.0562,324.0
August,4,21:30,26.53,1,0.0416,314.25,181.79,4,0.0196,335.44,342.7,5,0.0142,357.08,184.68,6,0.0327,333.36
August,4,22:00,21.62,0,0.0,310.76,136.0,0,0.0,313.63,257.12,0,0.0,348.61,145.98,0,0.0,324.5
August,4,22:30,14.55,0,0.0,314.47,109.27,0,0.0,298.3,201.41,0,0.0,343.3,124.55,0,0.0,324.11
August,4,23:00,13.66,0,0.0,280.13,79.02,0,0.0,292.19,158.38,0,0.0,333.1,98.58,0,0.0,331.84
August,4,23:30,9.0,0,0.0,328.73,59.47,0,0.0,282.23,118.26,0,0.0,346.64,71.13,0,0.0,318.22
August,5,0:00,5.37,0,0.0,329.75,38.29,0,0.0,300.27,77.78,0,0.0,324.61,46.65,0,0.0,304.75
August,5,0:30,4.4,0,0.0,263.86,27.41,0,0.0,306.67,55.3,0,0.0,334.11,33.32,0,0.0,322.21
August,5,1:00,2.79,0,0.0,321.73,12.83,0,0.0,318.71,38.88,0,0.0,336.88,26.65,0,0.0,360.5
August,5,1:30,2.31,0,0.0,246.82,7.35,0,0.0,301.58,28.48,0,0.0,293.91,17.89,0,0.0,334.79
August,5,2:00,1.72,0,0.0,425.62,3.72,0,0.0,334.6,20.29,0,0.0,290.21,12.28,0,0.0,313.01
August,5,2:30,1.42,0,0.0,210.96,3.87,0,0.0,348.44,19.33,0,0.0,254.64,9.54,0,0.0,289.8
August,5,3:00,1.6,0,0.0,326.92,3.09,0,0.0,358.71,12.98,0,0.0,271.72,2.34,0,0.0,358.41
August,5,3:30,1.43,0,0.0,197.51,2.65,0,0.0,213.67,12.52,0,0.0,297.12,0.24,0,0.0,256.02
August,5,4:00,1.04,0,0.0,261.16,1.88,0,0.0,246.07,9.53,0,0.0,320.32,0.23,0,0.0,471.78
August,5,4:30,1.84,0,0.0,232.03,2.78,0,0.0,220.78,10.6,0,0.0,276.32,0.11,0,0.0,307.31
August,5,5:00,1.8,0,0.0,242.52,1.61,0,0.0,334.64,11.59,0,0.0,297.64,0.22,0,0.0,208.36
August,5,5:30,2.66,0,0.0,215.21,3.12,0,0.0,314.96,15.83,0,0.0,317.42,0.47,0,0.0,311.09
August,5,6:00,2.29,0,0.0,269.79,4.81,0,0.0,275.59,28.76,0,0.0,242.03,13.11,0,0.0,223.97
August,5,6:30,4.29,0,0.0,219.4,9.57,0,0.0,303.57,48.52,0,0.0,238.15,21.06,0,0.0,233.82
